node,group,group.type
grazing,management,1
tree_shrub_presence,management,1
grazing_tree_shrub_presence,management,1
riparian_restoration,management,1
grassland_composition,management,1
hedgerow_planting,management,1
bulk_density,soil_property,2
available_phosphorous,outcome,3
plant_tissue_quality,outcome,3
oak_growth_reproduction,outcome,3
C:N,soil_property,2
carbon,soil_property,2
stream_morphology,outcome,3
water_quality,outcome,3
invasive_plant_abundance,outcome,3
total_N,soil_property,2
total_P,soil_property,2
natural_pest_control,outcome,3
cation,soil_property,2
electroconductivity,outcome,3
forage_production,outcome,3
microbial_biomass,outcome,3
N-cycling,outcome,3
pH,soil_property,2
native_plant_abundance,outcome,3
water_holding_capacity,soil_property,2
water_runoff,outcome,3
nematode_abundance,outcome,3
amphibian_abundance,outcome,3
insect_diversity,outcome,3
pollination,outcome,3
bird_abundance,outcome,3
