node,group,group.type
grazing,management,1
tree_shrub_presence,management,1
riparian_restoration,management,1
hedgerow_planting,management,1
organic_amendment,management,1
carbon,soil_property,2
bulk_density,soil_property,2
available_phosphorous,soil_property,2
water_holding_capacity,soil_property,2
total_N,soil_property,2
soil_organism_abundance,soil_property,2
forage_production,outcome,3
water_quality,outcome,3
plant_diversity,outcome,3
native_plant_abundance,outcome,3
plant_tissue_quality,outcome,3
natural_pest_control,outcome,3
