resource,consumer,strength
grazing,bulk_density,21.30795958
grazing,available_phosphorous,2.203206838
grazing,plant_tissue_quality,0.056353997
grazing,oak_growth_reproduction,3.326306207
grazing,C:N,1.638120312
grazing,carbon,3.295390162
grazing,stream_morphology,1.325372254
grazing,water_quality,0.498581077
grazing,invasive_plant_abundance,6.80423588
grazing,bird_abundance,2.870511381
grazing,total_N,0.680148687
grazing,total_P,0.608889018
grazing,natural_pest_control,3.793547215
tree_shrub_presence,bulk_density,2.796225069
tree_shrub_presence,available_phosphorous,9.669186875
tree_shrub_presence,C:N,1.543015227
tree_shrub_presence,cation,12.6499153
tree_shrub_presence,carbon,10.37547041
tree_shrub_presence,plant_tissue_quality,12.59122369
tree_shrub_presence,electroconductivity,8.195473091
tree_shrub_presence,forage_production,5.846393941
tree_shrub_presence,microbial_biomass,4.395829004
tree_shrub_presence,N-cycling,22.98591549
tree_shrub_presence,total_N,3.676463021
tree_shrub_presence,pH,4.240157583
tree_shrub_presence,native_plant_abundance,5.790197131
tree_shrub_presence,water_holding_capacity,4.989063624
tree_shrub_presence,water_runoff,7.805713923
tree_shrub_presence,total_P,3.319696633
grazing_tree_shrub_presence,bulk_density,3.914801463
grazing_tree_shrub_presence,available_phosphorous,1.194847449
grazing_tree_shrub_presence,C:N,2.566141795
grazing_tree_shrub_presence,total_N,1.988529197
grazing_tree_shrub_presence,carbon,4.537963418
grazing_tree_shrub_presence,total_P,2.5182056
riparian_restoration,plant_tissue_quality,0.871612663
riparian_restoration,nematode_abundance,1.826364293
riparian_restoration,stream_morphology,7.948741334
riparian_restoration,carbon,3.603486632
riparian_restoration,amphibian_abundance,3.110437043
riparian_restoration,total_N,3.774547238
grassland_composition,insect_diversity,1.211464118
grassland_composition,natural_pest_control,7.545496423
hedgerow_planting,bulk_density,1.134545455
hedgerow_planting,carbon,2.700946412
hedgerow_planting,electroconductivity,2.036887599
hedgerow_planting,microbial_biomass,1.200473711
hedgerow_planting,pollination,45.32823282
hedgerow_planting,insect_diversity,3.226324149
hedgerow_planting,natural_pest_control,4.079567194
hedgerow_planting,pH,1.326749586
hedgerow_planting,total_N,0.597957958
